nom,debut,fin,genre,lateralite,set,systeme,coup,type_service,type_coup,zone_jeu,faute,effet_coup,coor_balle_x,coor_balle_y,coor_balle_z,joueur_frappe,joueur_sur
FAN-ZHENDONG,9685,9724,garcon,coup_droit,2,att/att,FAN-ZHENDONG,lat_droit,,m2,,,0.9773754119873047,68.8130106608073,2,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,9725,9736,garcon,coup_droit,2,att/att,ALEXIS-LEBRUN,,defensif,m2,,poussette,7.207285690307617,-54.654486974080406,2,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,9737,9751,garcon,revers,2,att/att,FAN-ZHENDONG,,defensif,m3,,poussette,-21.420256042480467,105.2176939646403,2,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,9752,9762,garcon,revers,2,att/att,ALEXIS-LEBRUN,,offensif,g3,,topspin,34.88990097045898,-119.81908797423044,2,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,9763,9770,garcon,revers,2,att/att,serveur_point_contre,,offensif,g2,pt_gagne,topspin,-26.94941520690918,72.03699607849121,2,FAN-ZHENDONG,ALEXIS-LEBRUN
FAN-ZHENDONG,10242,10266,garcon,coup_droit,2,att/att,FAN-ZHENDONG,lat_droit,,d2,,,43.09284858703613,52.60681749979655,2,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,10267,10278,garcon,coup_droit,2,att/att,ALEXIS-LEBRUN,,intermediaire,g3,,flip,41.797006607055664,-105.12181180318197,2,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,10279,10301,garcon,revers,2,att/att,serveur_point_pour,,offensif,,out,topspin,,,,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,10737,10754,garcon,coup_droit,2,att/att,ALEXIS-LEBRUN,lat_droit,,m3,,,16.423007583618165,-100.22739241917928,2,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,10755,10763,garcon,revers,2,att/att,FAN-ZHENDONG,,offensif,m3,,topspin,6.1421161651611325,98.18592898050944,2,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,10764,10775,garcon,coup_droit,2,att/att,ALEXIS-LEBRUN,,offensif,g2,,topspin,55.18050994873047,-88.51381158828735,2,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,10776,10784,garcon,revers,2,att/att,FAN-ZHENDONG,,intermediaire,d2,,bloc,36.36698455810547,57.02217013041179,2,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,10785,10795,garcon,coup_droit,2,att/att,ALEXIS-LEBRUN,,offensif,d2,,topspin,-47.25513610839844,-85.88666388193766,2,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,10801,10822,garcon,coup_droit,2,att/att,serveur_point_pour,,intermediaire,,filet,bloc,,,,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,11136,11193,garcon,coup_droit,2,att/att,ALEXIS-LEBRUN,lat_droit,,d3,,,-31.163938522338867,-91.58766756057739,2,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,11194,11206,garcon,coup_droit,2,att/att,FAN-ZHENDONG,,offensif,d3,,topspin,65.53002471923828,135.95987714131672,2,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,11207,11228,garcon,coup_droit,2,att/att,ALEXIS-LEBRUN,,intermediaire,m3,,bloc,-21.05317039489746,-128.48672148386638,2,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,11229,11239,garcon,coup_droit,2,att/att,FAN-ZHENDONG,,offensif,g3,,topspin,-70.57903060913085,102.5134651184082,2,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,11240,11282,garcon,revers,2,att/att,serveur_point_pour,,intermediaire,,out,bloc,,,,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,12271,12300,garcon,coup_droit,2,att/att,FAN-ZHENDONG,lat_droit,,m2,,,-19.060541915893555,81.71112988789876,2,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,12301,12323,garcon,revers,2,att/att,serveur_point_pour,,offensif,,out,topspin,,,,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,12711,12761,garcon,coup_droit,2,att/att,FAN-ZHENDONG,lat_droit,,g2,,,-34.86189498901367,74.02738711039225,2,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,12762,12774,garcon,revers,2,att/att,ALEXIS-LEBRUN,,defensif,m3,,poussette,23.547362518310546,-95.13197587331136,2,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,12775,12785,garcon,revers,2,att/att,FAN-ZHENDONG,,offensif,m3,,topspin,-16.288308525085448,103.2485907236735,2,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,12786,12798,garcon,coup_droit,2,att/att,ALEXIS-LEBRUN,,intermediaire,d3,,topspin,-28.865215682983397,-126.74456207752227,2,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,12799,12807,garcon,coup_droit,2,att/att,FAN-ZHENDONG,,offensif,g2,,topspin,-34.934370613098146,66.63073336283365,2,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,12808,12832,garcon,revers,2,att/att,serveur_point_pour,,intermediaire,,filet,bloc,,,,ALEXIS-LEBRUN,FAN-ZHENDONG
ALEXIS-LEBRUN,13135,13171,garcon,coup_droit,2,att/att,ALEXIS-LEBRUN,lat_droit,,m2,,,-17.877437782287597,-65.31033722559611,2,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,13172,13185,garcon,revers,2,att/att,FAN-ZHENDONG,,intermediaire,g3,,flip,-37.11113986968994,117.18444620768229,2,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,13186,13203,garcon,revers,2,att/att,serveur_point_pour,,offensif,,out,topspin,,,,ALEXIS-LEBRUN,FAN-ZHENDONG
ALEXIS-LEBRUN,13508,13523,garcon,coup_droit,2,att/att,ALEXIS-LEBRUN,lat_droit,,g3,,,39.533639144897464,-106.80233874320984,2,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,13524,13532,garcon,revers,2,att/att,FAN-ZHENDONG,,offensif,m2,,topspin,-8.824007797241212,86.68886693318684,2,FAN-ZHENDONG,ALEXIS-LEBRUN
