nom,debut,fin,genre,lateralite,set,systeme,coup,type_service,type_coup,zone_jeu,faute,distance_x_jA,distance_y_jA,zone_joueur_jA,distance_x_jB,distance_y_jB,zone_joueur_jB,competition,match,joueurA,joueurB,droitier_gaucher_joueurA,droitier_gaucher_joueurB,prise_joueurA,prise_joueurB
LIANG,9501,9543,garcon,coup_droit,1,att/att,LIANG,lat_gauche,,m2,,64.8443603515625,-196.30352783203125,g5,-114.616943359375,175.597900390625,h4,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LEBRUN,9544,9560,garcon,coup_droit,1,att/att,LEBRUN,,poussette,d2,,37.173828125,-160.52761840820312,g4,-8.126708984375,206.3677978515625,m5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LIANG,9561,9578,garcon,coup_droit,1,att/att,LIANG,,offensif,g3,,-8.368408203125,-216.2801513671875,m5,-33.6102294921875,181.029541015625,g4,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LEBRUN,9579,9603,garcon,revers,1,att/att,serveur_point_pour,,defensif,,filet,66.88214111328125,-287.74058532714844,g7,-36.9608154296875,224.34014892578125,g5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LEBRUN,9907,9934,garcon,coup_droit,1,att/att,LEBRUN,lat_droit,,g2,,-44.70745849609375,191.0977783203125,g5,110.69049072265625,-121.41583251953125,h3,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LIANG,9935,9957,garcon,revers,1,att/att,LIANG,,poussette,m2,,-89.73272705078125,180.01202392578125,h4,90.0888671875,-187.8660888671875,h5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LEBRUN,9958,9976,garcon,coup_droit,1,att/att,LEBRUN,,poussette,m2,,-36.83013916015625,240.46026611328125,g6,37.08526611328125,-169.37139892578125,g4,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LIANG,9977,9996,garcon,revers,1,att/att,LIANG,,offensif,g2,,21.50482177734375,247.85650634765625,m6,13.26824951171875,-267.89939880371094,m6,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LEBRUN,9997,10008,garcon,revers,1,att/att,LEBRUN,,offensif,m2,,-47.78863525390625,279.703857421875,g7,66.59100341796875,-314.74615478515625,g7,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LIANG,10009,10030,garcon,revers,1,att/att,serveur_point_pour,,offensif,,out,-63.1044921875,288.65765380859375,g7,105.6251220703125,-315.3029022216797,h7,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LEBRUN,10327,10335,garcon,coup_droit,1,att/att,LEBRUN,lat_droit,,m2,,-41.05926513671875,178.30841064453125,g4,80.12030029296875,-166.2220458984375,h4,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LIANG,10336,10353,garcon,coup_droit,1,att/att,LIANG,,poussette,d2,,-4.89801025390625,173.60479736328125,m4,70.6837158203125,-213.79876708984375,g5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LEBRUN,10354,10373,garcon,coup_droit,1,att/att,serveur_point_contre,,offensif,,filet,11.5323486328125,267.3770751953125,m6,-11.40325927734375,-165.33078002929688,m4,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LIANG,10688,10717,garcon,coup_droit,1,att/att,LIANG,lat_gauche,,m2,,-464.11830139160156,-219.49139404296875,f5,-37.25445556640625,188.1163330078125,g5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LEBRUN,10718,10732,garcon,coup_droit,1,att/att,LEBRUN,,poussette,m2,,-376.0419616699219,-152.1396484375,f4,87.7335205078125,120.892822265625,e3,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LIANG,10733,10746,garcon,coup_droit,1,att/att,LIANG,,poussette,m2,,-492.36053466796875,-191.11807250976562,f5,84.11114501953125,60.51416015625,e3,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LEBRUN,10747,10764,garcon,revers,1,att/att,LEBRUN,,poussette,g2,,-394.7604064941406,-182.79669189453125,f5,84.61151123046875,105.55145263671875,e3,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LIANG,10765,10793,garcon,revers,1,att/att,serveur_point_contre,,offensif,,out,-477.5341491699219,-417.679443359375,f8,14.1956787109375,187.96160888671875,m5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LIANG,11259,11292,garcon,coup_droit,1,att/att,LIANG,lat_gauche,,g2,,-102.0982666015625,170.187744140625,h4,70.91558837890625,-192.43716430664062,g5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LEBRUN,11293,11308,garcon,revers,1,att/att,LEBRUN,,poussette,m3,,-37.1109619140625,205.8177490234375,g5,61.9658203125,-181.002197265625,g4,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LIANG,11309,11322,garcon,revers,1,att/att,LIANG,,offensif,d3,,14.368408203125,206.41021728515625,m5,61.2408447265625,-249.202392578125,g6,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LEBRUN,11323,11346,garcon,coup_droit,1,att/att,LEBRUN,,defensif,m3,,6.2664794921875,254.74005126953125,m6,9.2310791015625,-342.1466979980469,m8,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LIANG,11347,11362,garcon,coup_droit,1,att/att,LIANG,,offensif,d3,,-18.3553466796875,260.900146484375,m6,-102.35687255859375,-491.97477531433105,e8,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LEBRUN,11363,11389,garcon,coup_droit,1,att/att,LEBRUN,,offensif,d3,,21.4537353515625,242.49603271484375,m6,-175.3094482421875,-481.38495218753815,f8,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LIANG,11390,11414,garcon,revers,1,att/att,LIANG,,defensif,d1,,53.60064697265625,204.94403076171875,d5,-135.166259765625,-411.4054183959961,f8,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LEBRUN,11415,11432,garcon,coup_droit,1,att/att,serveur_point_contre,,offensif,m2,pt_gagne,92.1429443359375,251.9324951171875,e6,-125.4305419921875,-207.17919921875,e5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
