nom,debut,fin,genre,lateralite,set,systeme,coup,type_service,type_coup,zone_jeu,faute,effet_coup,coor_balle_x,coor_balle_y,coor_balle_z,joueur_frappe,joueur_sur,distance_x_jA,distance_y_jA,zone_joueur_jA,distance_x_jB,distance_y_jB,zone_joueur_jB
ALEXIS-LEBRUN,3981,4007,garcon,revers,1,att/att,serveur_point_pour,,intermediaire,,out,bloc,,,,ALEXIS-LEBRUN,FAN-ZHENDONG,-71.27801513671875,253.6329345703125,g6,37.03338623046875,-314.54742431640625,g7
FAN-ZHENDONG,4451,4490,garcon,coup_droit,1,att/att,FAN-ZHENDONG,lat_droit,,m2,,,21.595177459716798,-49.37596842447917,2,FAN-ZHENDONG,ALEXIS-LEBRUN,58.48773193359375,-213.57839965820312,g5,-110.257568359375,155.75506591796875,h4
ALEXIS-LEBRUN,4491,4502,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,,defensif,d2,,poussette,34.19338264465332,69.46329867045084,2,ALEXIS-LEBRUN,FAN-ZHENDONG,126.9322509765625,-179.49172973632812,i4,-67.80810546875,198.57952880859375,g5
FAN-ZHENDONG,4503,4516,garcon,coup_droit,1,att/att,FAN-ZHENDONG,,defensif,g3,,poussette,30.24075584411621,-127.44716805617014,2,FAN-ZHENDONG,ALEXIS-LEBRUN,82.74005126953125,-174.06460571289062,h4,-20.1732177734375,212.6275634765625,m5
ALEXIS-LEBRUN,4517,4527,garcon,coup_droit,1,att/att,serveur_point_contre,,offensif,g3,pt_gagne,topspin,-64.57958984375,129.42978630065917,2,ALEXIS-LEBRUN,FAN-ZHENDONG,61.37677001953125,-216.14312744140625,g5,63.4736328125,181.19012451171875,d4
ALEXIS-LEBRUN,4977,5010,garcon,revers,1,att/att,ALEXIS-LEBRUN,lat_gauche,,d2,,,56.403263854980466,65.32693456013997,2,ALEXIS-LEBRUN,FAN-ZHENDONG,-63.9088134765625,208.4732666015625,g5,-22.82012939453125,-200.69387817382812,m5
FAN-ZHENDONG,5011,5024,garcon,coup_droit,1,att/att,FAN-ZHENDONG,,defensif,g2,,poussette,57.360975646972655,-86.91233647664389,2,FAN-ZHENDONG,ALEXIS-LEBRUN,17.83294677734375,156.294677734375,m4,-9.17626953125,-222.83331298828125,m5
ALEXIS-LEBRUN,5025,5035,garcon,revers,1,att/att,ALEXIS-LEBRUN,,offensif,d2,,topspin,60.89974594116211,88.92519989013672,2,ALEXIS-LEBRUN,FAN-ZHENDONG,5.01654052734375,183.1234130859375,m5,49.5914306640625,-226.0619659423828,g5
FAN-ZHENDONG,5036,5062,garcon,coup_droit,1,att/att,serveur_point_pour,,intermediaire,,out,bloc,,,,FAN-ZHENDONG,ALEXIS-LEBRUN,-34.097412109375,242.92095947265625,g6,18.59503173828125,-258.42845153808594,m6
ALEXIS-LEBRUN,5362,5394,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,lat_gauche,,g3,,,-50.8435492515564,103.68258641560872,2,ALEXIS-LEBRUN,FAN-ZHENDONG,124.684326171875,-129.56228637695312,h3,-75.5382080078125,201.60931396484375,g5
FAN-ZHENDONG,5395,5414,garcon,revers,1,att/att,serveur_point_pour,,intermediaire,,filet,topspin,,,,FAN-ZHENDONG,ALEXIS-LEBRUN,74.04339599609375,-246.2008819580078,g6,-41.724365234375,182.40289306640625,g4
FAN-ZHENDONG,5871,5908,garcon,coup_droit,1,att/att,FAN-ZHENDONG,lat_droit,,g3,,,55.03114471435547,-107.30773868560792,2,FAN-ZHENDONG,ALEXIS-LEBRUN,61.3626708984375,-218.81069946289062,g5,-118.69378662109375,156.95843505859375,h4
ALEXIS-LEBRUN,5909,5915,garcon,revers,1,att/att,ALEXIS-LEBRUN,,offensif,m2,,topspin,-19.170800971984864,70.08026135762533,2,ALEXIS-LEBRUN,FAN-ZHENDONG,93.3642578125,-220.36434936523438,h5,-71.75567626953125,186.307373046875,g5
FAN-ZHENDONG,5916,5934,garcon,revers,1,att/att,serveur_point_pour,,intermediaire,,out,bloc,,,,FAN-ZHENDONG,ALEXIS-LEBRUN,101.2254638671875,-240.34397888183594,h6,-48.65948486328125,242.0284423828125,g6
FAN-ZHENDONG,6445,6491,garcon,coup_droit,1,att/att,FAN-ZHENDONG,lat_droit,,m2,,,-0.19961509704589844,-60.933549118041995,2,FAN-ZHENDONG,ALEXIS-LEBRUN,58.48773193359375,-213.57839965820312,g5,-97.9190673828125,146.11871337890625,h4
ALEXIS-LEBRUN,6492,6505,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,,defensif,m2,,poussette,3.5612533569335936,82.8357593536377,2,ALEXIS-LEBRUN,FAN-ZHENDONG,85.3507080078125,-199.99740600585938,h5,-64.00439453125,194.8038330078125,g5
FAN-ZHENDONG,6506,6517,garcon,coup_droit,1,att/att,FAN-ZHENDONG,,defensif,d2,,poussette,-33.44369354248047,-53.313852628072105,2,FAN-ZHENDONG,ALEXIS-LEBRUN,37.69775390625,-195.81082153320312,g5,-13.3333740234375,202.489501953125,m5
ALEXIS-LEBRUN,6518,6533,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,,defensif,d1,,poussette,31.684607696533202,43.521843338012694,2,ALEXIS-LEBRUN,FAN-ZHENDONG,49.47381591796875,-247.70968627929688,g6,36.7623291015625,182.5035400390625,d4
FAN-ZHENDONG,6534,6556,garcon,coup_droit,1,att/att,serveur_point_pour,,defensif,,out,poussette,,,,FAN-ZHENDONG,ALEXIS-LEBRUN,28.28192138671875,-221.57473754882812,g5,8.55828857421875,226.76287841796875,m5
ALEXIS-LEBRUN,7127,7151,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,lat_droit,,g3,,,-31.96032600402832,98.91182174682618,2,ALEXIS-LEBRUN,FAN-ZHENDONG,122.16851806640625,-136.80520629882812,h3,-34.4322509765625,192.1434326171875,g5
FAN-ZHENDONG,7152,7163,garcon,revers,1,att/att,FAN-ZHENDONG,,offensif,m3,,topspin,18.59186210632324,-123.7444196542104,2,FAN-ZHENDONG,ALEXIS-LEBRUN,64.2288818359375,-222.013916015625,g5,24.34942626953125,184.95556640625,m5
ALEXIS-LEBRUN,7164,7171,garcon,revers,1,att/att,ALEXIS-LEBRUN,,offensif,d3,,topspin,30.059572219848633,123.38192838033041,2,ALEXIS-LEBRUN,FAN-ZHENDONG,82.28863525390625,-264.44921875,h6,-37.79656982421875,227.56365966796875,g5
FAN-ZHENDONG,7172,7182,garcon,coup_droit,1,att/att,FAN-ZHENDONG,,intermediaire,g2,,bloc,72.2197868347168,-87.76119585037232,2,FAN-ZHENDONG,ALEXIS-LEBRUN,37.08721923828125,-304.92466735839844,g7,-44.82891845703125,264.19378662109375,g6
ALEXIS-LEBRUN,7183,7194,garcon,revers,1,att/att,ALEXIS-LEBRUN,,intermediaire,d2,,bloc,31.823804092407226,60.004655838012695,2,ALEXIS-LEBRUN,FAN-ZHENDONG,40.06793212890625,-317.5130157470703,g7,-9.3541259765625,292.7335205078125,m7
FAN-ZHENDONG,7195,7209,garcon,coup_droit,1,att/att,FAN-ZHENDONG,,offensif,m3,,topspin,14.096170043945312,-93.49509369532267,2,FAN-ZHENDONG,ALEXIS-LEBRUN,108.67822265625,-316.0552673339844,h7,-37.247802734375,310.18682861328125,g7
ALEXIS-LEBRUN,7210,7226,garcon,revers,1,att/att,ALEXIS-LEBRUN,,intermediaire,g3,,bloc,-53.608706855773924,103.94929351806641,2,ALEXIS-LEBRUN,FAN-ZHENDONG,76.21331787109375,-370.00609588623047,h8,-71.0882568359375,280.3763427734375,g7
FAN-ZHENDONG,7227,7255,garcon,revers,1,att/att,serveur_point_pour,,offensif,,out,topspin,,,,FAN-ZHENDONG,ALEXIS-LEBRUN,63.2374267578125,-411.26641845703125,g8,-40.8814697265625,308.375,g7
ALEXIS-LEBRUN,7574,7591,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,lat_droit,,m2,,,-4.028048706054688,63.404065195719404,2,ALEXIS-LEBRUN,FAN-ZHENDONG,-13.42425537109375,188.09234619140625,m5,6.21728515625,-162.18157958984375,m4
FAN-ZHENDONG,7592,7607,garcon,coup_droit,1,att/att,FAN-ZHENDONG,,defensif,d2,,poussette,-38.92701320648193,-67.11999543507893,2,FAN-ZHENDONG,ALEXIS-LEBRUN,11.54339599609375,181.875,m4,9.17852783203125,-213.90625,m5
ALEXIS-LEBRUN,7608,7617,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,,offensif,m2,,topspin,15.709050750732422,90.27028516133626,2,ALEXIS-LEBRUN,FAN-ZHENDONG,11.76507568359375,218.983642578125,m5,61.45068359375,-202.14151000976562,g5
FAN-ZHENDONG,7618,7633,garcon,coup_droit,1,att/att,FAN-ZHENDONG,,intermediaire,g2,,bloc,55.31911926269531,-71.07507362365723,2,FAN-ZHENDONG,ALEXIS-LEBRUN,18.5162353515625,272.3355712890625,m6,12.75006103515625,-159.51858520507812,m4
ALEXIS-LEBRUN,7634,7645,garcon,revers,1,att/att,ALEXIS-LEBRUN,,intermediaire,m3,,bloc,-8.770713806152344,92.43596076965332,2,ALEXIS-LEBRUN,FAN-ZHENDONG,12.4039306640625,325.90118408203125,m8,55.765869140625,-176.101318359375,g4
FAN-ZHENDONG,7646,7673,garcon,coup_droit,1,att/att,FAN-ZHENDONG,,intermediaire,m2,,bloc,-17.93242778778076,-71.14325726826986,2,FAN-ZHENDONG,ALEXIS-LEBRUN,-70.80120849609375,320.83685302734375,g8,61.3275146484375,-225.48046875,g5
ALEXIS-LEBRUN,7674,7693,garcon,coup_droit,1,att/att,serveur_point_contre,,intermediaire,m2,pt_gagne,topspin,-8.983969497680665,69.43955459594727,2,ALEXIS-LEBRUN,FAN-ZHENDONG,-71.13165283203125,274.2652587890625,g7,79.690673828125,-232.07342529296875,h6
FAN-ZHENDONG,7858,7899,garcon,coup_droit,2,att/att,FAN-ZHENDONG,lat_gauche,,m2,,,10.745584869384766,71.01303939819336,2,FAN-ZHENDONG,ALEXIS-LEBRUN,-63.91943359375,206.9547119140625,g5,106.90655517578125,-141.56719970703125,h4
ALEXIS-LEBRUN,7900,7912,garcon,coup_droit,2,att/att,ALEXIS-LEBRUN,,defensif,m3,,poussette,18.604031372070313,-122.34236624240876,2,ALEXIS-LEBRUN,FAN-ZHENDONG,-48.94866943359375,199.43499755859375,g5,58.5517578125,-201.53634643554688,g5
FAN-ZHENDONG,7913,7923,garcon,revers,2,att/att,FAN-ZHENDONG,,offensif,m3,,topspin,1.5313850402832032,129.88548787434897,2,FAN-ZHENDONG,ALEXIS-LEBRUN,-13.46966552734375,180.89166259765625,m4,55.6185302734375,-203.61187744140625,g5
ALEXIS-LEBRUN,7924,7934,garcon,coup_droit,2,att/att,ALEXIS-LEBRUN,,offensif,d2,,topspin,-41.68626194000244,-73.3377114613851,2,ALEXIS-LEBRUN,FAN-ZHENDONG,-41.39678955078125,231.36041259765625,g6,58.60150146484375,-192.1729736328125,g5
FAN-ZHENDONG,7935,7959,garcon,coup_droit,2,att/att,serveur_point_pour,,intermediaire,,out,bloc,,,,FAN-ZHENDONG,ALEXIS-LEBRUN,-23.29345703125,270.10113525390625,m6,43.47271728515625,-249.520751953125,g6
FAN-ZHENDONG,8313,8337,garcon,coup_droit,2,att/att,FAN-ZHENDONG,lat_gauche,,g2,,,-43.06039600372314,61.12897173563639,2,FAN-ZHENDONG,ALEXIS-LEBRUN,-56.42266845703125,196.38397216796875,g5,88.3428955078125,-145.1064453125,h4
ALEXIS-LEBRUN,8338,8345,garcon,revers,2,att/att,ALEXIS-LEBRUN,,intermediaire,d3,,flip,-58.48941049575806,-100.77284197807312,2,ALEXIS-LEBRUN,FAN-ZHENDONG,-71.83172607421875,175.58526611328125,g4,58.56597900390625,-198.86087036132812,g5
FAN-ZHENDONG,8346,8370,garcon,coup_droit,2,att/att,serveur_point_pour,,intermediaire,,filet,bloc,,,,FAN-ZHENDONG,ALEXIS-LEBRUN,-56.40191650390625,199.398193359375,g5,64.274169921875,-213.37380981445312,g5
ALEXIS-LEBRUN,8694,8712,garcon,coup_droit,2,att/att,ALEXIS-LEBRUN,lat_droit,,d1,,,-36.00955314636231,-43.09958031972249,2,ALEXIS-LEBRUN,FAN-ZHENDONG,58.69036865234375,-175.45849609375,g4,-68.238037109375,137.53131103515625,g4
FAN-ZHENDONG,8713,8725,garcon,coup_droit,2,att/att,FAN-ZHENDONG,,defensif,m2,,poussette,8.178985977172852,54.24456634521484,2,FAN-ZHENDONG,ALEXIS-LEBRUN,22.393310546875,-152.11224365234375,m4,-45.270263671875,198.70831298828125,g5
ALEXIS-LEBRUN,8726,8737,garcon,coup_droit,2,att/att,ALEXIS-LEBRUN,,defensif,d2,,poussette,-46.99880237579346,-60.2967009862264,2,ALEXIS-LEBRUN,FAN-ZHENDONG,31.67724609375,-171.75164794921875,g4,-16.86932373046875,187.30950927734375,m5
FAN-ZHENDONG,8738,8750,garcon,coup_droit,2,att/att,FAN-ZHENDONG,,offensif,d3,,topspin,50.24610824584961,114.07686424255371,2,FAN-ZHENDONG,ALEXIS-LEBRUN,34.73052978515625,-177.9788818359375,g4,-6.66864013671875,180.34912109375,m4
ALEXIS-LEBRUN,8751,8759,garcon,coup_droit,2,att/att,ALEXIS-LEBRUN,,offensif,m2,,topspin,-23.077947044372557,-68.6879405339559,2,ALEXIS-LEBRUN,FAN-ZHENDONG,15.985107421875,-157.49972534179688,m4,-9.82965087890625,216.833740234375,m5
FAN-ZHENDONG,8760,8767,garcon,coup_droit,2,att/att,FAN-ZHENDONG,,offensif,d3,,topspin,58.84693069458008,101.07882130940756,2,FAN-ZHENDONG,ALEXIS-LEBRUN,31.76727294921875,-155.89285278320312,g4,40.019775390625,219.19171142578125,d5
ALEXIS-LEBRUN,8768,8782,garcon,coup_droit,2,att/att,ALEXIS-LEBRUN,,intermediaire,g3,,bloc,41.67369766235352,-120.13115248680114,2,ALEXIS-LEBRUN,FAN-ZHENDONG,40.74798583984375,-195.0850830078125,g5,63.8076171875,244.4775390625,d6
FAN-ZHENDONG,8783,8794,garcon,revers,2,att/att,FAN-ZHENDONG,,offensif,m2,,topspin,-16.739285278320313,55.413426335652666,2,FAN-ZHENDONG,ALEXIS-LEBRUN,8.9796142578125,-247.1962127685547,m6,49.36273193359375,277.3310546875,d7
ALEXIS-LEBRUN,8795,8807,garcon,revers,2,att/att,ALEXIS-LEBRUN,,offensif,d2,,topspin,-36.21350250244141,-63.91425793965657,2,ALEXIS-LEBRUN,FAN-ZHENDONG,11.9967041015625,-286.52528381347656,m7,52.55743408203125,319.755859375,d8
FAN-ZHENDONG,8808,8840,garcon,coup_droit,2,att/att,serveur_point_pour,,offensif,,filet,topspin,,,,FAN-ZHENDONG,ALEXIS-LEBRUN,58.13885498046875,-279.2088165283203,g7,-36.80767822265625,376.44757080078125,g8
ALEXIS-LEBRUN,9147,9200,garcon,coup_droit,2,att/att,ALEXIS-LEBRUN,lat_droit,,g2,,,26.23998107910156,-53.20124683380127,2,ALEXIS-LEBRUN,FAN-ZHENDONG,79.73663330078125,-222.93746948242188,h5,-98.0596923828125,127.22869873046875,h3
FAN-ZHENDONG,9201,9213,garcon,revers,2,att/att,FAN-ZHENDONG,,offensif,g3,,flip,-29.22055606842041,108.94762153625489,2,FAN-ZHENDONG,ALEXIS-LEBRUN,64.48638916015625,-172.85836791992188,g4,-93.523193359375,190.21484375,h5
ALEXIS-LEBRUN,9214,9220,garcon,revers,2,att/att,ALEXIS-LEBRUN,,offensif,m3,,topspin,-13.345147323608398,-127.2924657424291,2,ALEXIS-LEBRUN,FAN-ZHENDONG,64.4725341796875,-175.51376342773438,g4,-75.30218505859375,234.6397705078125,g6
FAN-ZHENDONG,9221,9251,garcon,coup_droit,2,att/att,serveur_point_pour,,intermediaire,,out,bloc,,,,FAN-ZHENDONG,ALEXIS-LEBRUN,109.0787353515625,-229.7215576171875,h6,-67.30377197265625,270.18341064453125,g6
FAN-ZHENDONG,9685,9724,garcon,coup_droit,2,att/att,FAN-ZHENDONG,lat_droit,,m2,,,0.9773754119873047,68.8130106608073,2,FAN-ZHENDONG,ALEXIS-LEBRUN,-71.663330078125,199.32293701171875,g5,106.90655517578125,-141.56719970703125,h4
ALEXIS-LEBRUN,9725,9736,garcon,coup_droit,2,att/att,ALEXIS-LEBRUN,,defensif,m2,,poussette,7.207285690307617,-54.654486974080406,2,ALEXIS-LEBRUN,FAN-ZHENDONG,-37.9781494140625,200.2281494140625,g5,74.35858154296875,-184.46646118164062,g5
FAN-ZHENDONG,9737,9751,garcon,revers,2,att/att,FAN-ZHENDONG,,defensif,m3,,poussette,-21.420256042480467,105.2176939646403,2,FAN-ZHENDONG,ALEXIS-LEBRUN,-34.41278076171875,195.08892822265625,g5,64.39947509765625,-189.45773315429688,g5
ALEXIS-LEBRUN,9752,9762,garcon,revers,2,att/att,ALEXIS-LEBRUN,,offensif,g3,,topspin,34.88990097045898,-119.81908797423044,2,ALEXIS-LEBRUN,FAN-ZHENDONG,-30.71087646484375,214.9239501953125,g5,37.82421875,-173.20437622070312,g4
FAN-ZHENDONG,9763,9770,garcon,revers,2,att/att,serveur_point_contre,,offensif,g2,pt_gagne,topspin,-26.94941520690918,72.03699607849121,2,FAN-ZHENDONG,ALEXIS-LEBRUN,1.87298583984375,209.24053955078125,m5,61.43658447265625,-204.80807495117188,g5
FAN-ZHENDONG,10242,10266,garcon,coup_droit,2,att/att,FAN-ZHENDONG,lat_droit,,d2,,,43.09284858703613,52.60681749979655,2,FAN-ZHENDONG,ALEXIS-LEBRUN,-37.89959716796875,212.0513916015625,g5,109.45208740234375,-149.23898315429688,h4
ALEXIS-LEBRUN,10267,10278,garcon,coup_droit,2,att/att,ALEXIS-LEBRUN,,intermediaire,g3,,flip,41.797006607055664,-105.12181180318197,2,ALEXIS-LEBRUN,FAN-ZHENDONG,-9.995849609375,190.30389404296875,m5,70.0980224609375,-190.73715209960938,g5
FAN-ZHENDONG,10279,10301,garcon,revers,2,att/att,serveur_point_pour,,offensif,,out,topspin,,,,FAN-ZHENDONG,ALEXIS-LEBRUN,-16.7315673828125,208.9844970703125,m5,82.67193603515625,-187.70584106445312,h5
ALEXIS-LEBRUN,10737,10754,garcon,coup_droit,2,att/att,ALEXIS-LEBRUN,lat_droit,,m3,,,16.423007583618165,-100.22739241917928,2,ALEXIS-LEBRUN,FAN-ZHENDONG,74.34521484375,-187.09136962890625,g5,-106.18719482421875,142.4681396484375,h4
FAN-ZHENDONG,10755,10763,garcon,revers,2,att/att,FAN-ZHENDONG,,offensif,m3,,topspin,6.1421161651611325,98.18592898050944,2,FAN-ZHENDONG,ALEXIS-LEBRUN,85.48236083984375,-173.44888305664062,h4,-63.9088134765625,208.4732666015625,g5
ALEXIS-LEBRUN,10764,10775,garcon,coup_droit,2,att/att,ALEXIS-LEBRUN,,offensif,g2,,topspin,55.18050994873047,-88.51381158828735,2,ALEXIS-LEBRUN,FAN-ZHENDONG,61.3486328125,-221.47845458984375,g5,-41.3372802734375,240.2548828125,g6
FAN-ZHENDONG,10776,10784,garcon,revers,2,att/att,FAN-ZHENDONG,,intermediaire,d2,,bloc,36.36698455810547,57.02217013041179,2,FAN-ZHENDONG,ALEXIS-LEBRUN,55.37396240234375,-249.28378295898438,g6,-48.578369140625,253.9757080078125,g6
ALEXIS-LEBRUN,10785,10795,garcon,coup_droit,2,att/att,ALEXIS-LEBRUN,,offensif,d2,,topspin,-47.25513610839844,-85.88666388193766,2,ALEXIS-LEBRUN,FAN-ZHENDONG,98.50689697265625,-257.75587463378906,h6,-67.2716064453125,274.74920654296875,g7
FAN-ZHENDONG,10801,10822,garcon,coup_droit,2,att/att,serveur_point_pour,,intermediaire,,filet,bloc,,,,FAN-ZHENDONG,ALEXIS-LEBRUN,49.3009033203125,-279.5274963378906,g7,-67.21807861328125,282.35760498046875,g7
ALEXIS-LEBRUN,11136,11193,garcon,coup_droit,2,att/att,ALEXIS-LEBRUN,lat_droit,,d3,,,-31.163938522338867,-91.58766756057739,2,ALEXIS-LEBRUN,FAN-ZHENDONG,82.42840576171875,-236.46517944335938,h6,-93.98040771484375,128.32513427734375,h3
FAN-ZHENDONG,11194,11206,garcon,coup_droit,2,att/att,FAN-ZHENDONG,,offensif,d3,,topspin,65.53002471923828,135.95987714131672,2,FAN-ZHENDONG,ALEXIS-LEBRUN,64.4794921875,-174.18603515625,g4,-71.74481201171875,187.8388671875,g5
ALEXIS-LEBRUN,11207,11228,garcon,coup_droit,2,att/att,ALEXIS-LEBRUN,,intermediaire,m3,,bloc,-21.05317039489746,-128.48672148386638,2,ALEXIS-LEBRUN,FAN-ZHENDONG,104.12774658203125,-180.00527954101562,h4,5.36285400390625,240.23406982421875,m6
FAN-ZHENDONG,11229,11239,garcon,coup_droit,2,att/att,FAN-ZHENDONG,,offensif,g3,,topspin,-70.57903060913085,102.5134651184082,2,FAN-ZHENDONG,ALEXIS-LEBRUN,43.615478515625,-223.63482666015625,g5,9.161865234375,327.04443359375,m8
ALEXIS-LEBRUN,11240,11282,garcon,revers,2,att/att,serveur_point_pour,,intermediaire,,out,bloc,,,,ALEXIS-LEBRUN,FAN-ZHENDONG,34.486328125,-221.30642700195312,g5,-2596.93896484375,1777.310546875,i8
FAN-ZHENDONG,12271,12300,garcon,coup_droit,2,att/att,FAN-ZHENDONG,lat_droit,,m2,,,-19.060541915893555,81.71112988789876,2,FAN-ZHENDONG,ALEXIS-LEBRUN,-67.71142578125,212.30157470703125,g5,99.015380859375,-151.33566284179688,h4
ALEXIS-LEBRUN,12301,12323,garcon,revers,2,att/att,serveur_point_pour,,offensif,,out,topspin,,,,ALEXIS-LEBRUN,FAN-ZHENDONG,-34.23321533203125,222.323974609375,g5,61.3204345703125,-226.81455993652344,g5
FAN-ZHENDONG,12711,12761,garcon,coup_droit,2,att/att,FAN-ZHENDONG,lat_droit,,g2,,,-34.86189498901367,74.02738711039225,2,FAN-ZHENDONG,ALEXIS-LEBRUN,-89.32794189453125,212.09344482421875,h5,104.3480224609375,-133.21527099609375,h3
ALEXIS-LEBRUN,12762,12774,garcon,revers,2,att/att,ALEXIS-LEBRUN,,defensif,m3,,poussette,23.547362518310546,-95.13197587331136,2,ALEXIS-LEBRUN,FAN-ZHENDONG,-45.2301025390625,204.66632080078125,g5,61.52099609375,-188.81149291992188,g5
FAN-ZHENDONG,12775,12785,garcon,revers,2,att/att,FAN-ZHENDONG,,offensif,m3,,topspin,-16.288308525085448,103.2485907236735,2,FAN-ZHENDONG,ALEXIS-LEBRUN,-41.58038330078125,203.9224853515625,g5,46.7177734375,-205.85589599609375,g5
ALEXIS-LEBRUN,12786,12798,garcon,coup_droit,2,att/att,ALEXIS-LEBRUN,,intermediaire,d3,,topspin,-28.865215682983397,-126.74456207752227,2,ALEXIS-LEBRUN,FAN-ZHENDONG,-83.0718994140625,248.8135986328125,h6,79.831787109375,-204.02008056640625,h5
FAN-ZHENDONG,12799,12807,garcon,coup_droit,2,att/att,FAN-ZHENDONG,,offensif,g2,,topspin,-34.934370613098146,66.63073336283365,2,FAN-ZHENDONG,ALEXIS-LEBRUN,-67.4056396484375,255.721435546875,g6,61.2042236328125,-248.83399963378906,g6
ALEXIS-LEBRUN,12808,12832,garcon,revers,2,att/att,serveur_point_pour,,intermediaire,,filet,bloc,,,,ALEXIS-LEBRUN,FAN-ZHENDONG,-63.066162109375,329.00213623046875,g8,101.171142578125,-251.7897491455078,h6
ALEXIS-LEBRUN,13135,13171,garcon,coup_droit,2,att/att,ALEXIS-LEBRUN,lat_droit,,m2,,,-17.877437782287597,-65.31033722559611,2,ALEXIS-LEBRUN,FAN-ZHENDONG,79.7235107421875,-225.54751586914062,h5,-72.2559814453125,115.79107666015625,g4
FAN-ZHENDONG,13172,13185,garcon,revers,2,att/att,FAN-ZHENDONG,,intermediaire,g3,,flip,-37.11113986968994,117.18444620768229,2,FAN-ZHENDONG,ALEXIS-LEBRUN,43.8331298828125,-184.15921020507812,g5,-60.1146240234375,207.699951171875,g5
ALEXIS-LEBRUN,13186,13203,garcon,revers,2,att/att,serveur_point_pour,,offensif,,out,topspin,,,,ALEXIS-LEBRUN,FAN-ZHENDONG,37.57501220703125,-217.74530029296875,g5,-41.248046875,253.592529296875,g6
ALEXIS-LEBRUN,13508,13523,garcon,coup_droit,2,att/att,ALEXIS-LEBRUN,lat_droit,,g3,,,39.533639144897464,-106.80233874320984,2,ALEXIS-LEBRUN,FAN-ZHENDONG,-63.91943359375,206.9547119140625,g5,37.7437744140625,-187.58871459960938,g5
FAN-ZHENDONG,13524,13532,garcon,revers,2,att/att,FAN-ZHENDONG,,offensif,m2,,topspin,-8.824007797241212,86.68886693318684,2,FAN-ZHENDONG,ALEXIS-LEBRUN,-93.107177734375,246.53106689453125,h6,61.57025146484375,-179.48330688476562,g4
ALEXIS-LEBRUN,13533,13554,garcon,revers,2,att/att,serveur_point_pour,,offensif,,out,topspin,,,,ALEXIS-LEBRUN,FAN-ZHENDONG,-71.0557861328125,284.958984375,g7,64.18017578125,-231.32089233398438,g6
FAN-ZHENDONG,13996,14016,garcon,coup_droit,2,att/att,FAN-ZHENDONG,lat_droit,,m2,,,-9.130696487426757,53.61706428527832,2,FAN-ZHENDONG,ALEXIS-LEBRUN,112.0364990234375,-144.96707153320312,h4,-71.6416015625,202.384765625,g5
ALEXIS-LEBRUN,14017,14030,garcon,coup_droit,2,att/att,ALEXIS-LEBRUN,,defensif,m2,,poussette,-10.455479431152344,-89.24292278289795,2,ALEXIS-LEBRUN,FAN-ZHENDONG,77.03106689453125,-208.66946411132812,h5,-89.57373046875,178.5753173828125,h4
FAN-ZHENDONG,14031,14043,garcon,coup_droit,2,att/att,FAN-ZHENDONG,,offensif,g3,,topspin,-56.219860553741455,120.84578946431478,2,FAN-ZHENDONG,ALEXIS-LEBRUN,77.09075927734375,-196.8916015625,h5,-67.63629150390625,222.9708251953125,g5
ALEXIS-LEBRUN,14044,14057,garcon,revers,2,att/att,ALEXIS-LEBRUN,,intermediaire,m1,,bloc,-15.108661651611328,-43.290395228068036,2,ALEXIS-LEBRUN,FAN-ZHENDONG,117.14080810546875,-139.61599731445312,h4,3.876953125,266.7589111328125,m6
FAN-ZHENDONG,14058,14067,garcon,coup_droit,2,att/att,serveur_point_contre,,offensif,d2,pt_gagne,topspin,56.53042144775391,81.32483139038087,2,FAN-ZHENDONG,ALEXIS-LEBRUN,104.1456298828125,-176.20932006835938,h4,-51.76910400390625,329.79071044921875,g8
FAN-ZHENDONG,14537,14562,garcon,coup_droit,2,att/att,FAN-ZHENDONG,lat_droit,,m2,,,-6.565380477905274,59.24198849995931,2,FAN-ZHENDONG,ALEXIS-LEBRUN,-41.5704345703125,205.4061279296875,g5,109.481201171875,-142.95858764648438,h4
ALEXIS-LEBRUN,14563,14578,garcon,revers,2,att/att,ALEXIS-LEBRUN,,defensif,g2,,poussette,46.3978515625,-88.22398319244385,2,ALEXIS-LEBRUN,FAN-ZHENDONG,-13.27886962890625,211.1251220703125,m5,85.2896728515625,-212.30679321289062,h5
FAN-ZHENDONG,14579,14593,garcon,revers,2,att/att,FAN-ZHENDONG,,intermediaire,m3,,topspin,8.568982315063476,97.95185038248698,2,FAN-ZHENDONG,ALEXIS-LEBRUN,-37.806396484375,226.08660888671875,g5,103.922119140625,-223.68661499023438,h5
ALEXIS-LEBRUN,14594,14620,garcon,coup_droit,2,att/att,serveur_point_pour,,offensif,,filet,topspin,,,,ALEXIS-LEBRUN,FAN-ZHENDONG,-48.51251220703125,263.6800537109375,g6,119.26446533203125,-226.64759826660156,h5
