nom,debut,fin,genre,lateralite,set,systeme,coup,type_service,type_coup,zone_jeu,faute,effet_coup,coor_balle_x,coor_balle_y,coor_balle_z,joueur_frappe,joueur_sur,distance_x_jA,distance_y_jA,zone_joueur_jA,distance_x_jB,distance_y_jB,zone_joueur_jB
ALEXIS-LEBRUN,26943,26962,garcon,coup_droit,4,att/att,ALEXIS-LEBRUN,lat_droit,,d1,,,-35.96586990356445,-38.641565004984535,2,ALEXIS-LEBRUN,FAN-ZHENDONG,40.80487060546875,-184.84393310546875,g5,11.497314453125,174.1685791015625,m4
FAN-ZHENDONG,26963,26977,garcon,coup_droit,4,att/att,FAN-ZHENDONG,,defensif,m2,,poussette,5.888496780395508,69.9191047668457,2,FAN-ZHENDONG,ALEXIS-LEBRUN,34.8389892578125,-158.73831176757812,g4,-9.78472900390625,224.000732421875,m5
ALEXIS-LEBRUN,26978,26992,garcon,coup_droit,4,att/att,ALEXIS-LEBRUN,,intermediaire,d2,,flip,-38.92701320648193,-67.11999543507893,2,ALEXIS-LEBRUN,FAN-ZHENDONG,34.6336669921875,-195.16635131835938,g5,-41.56048583984375,206.88970947265625,g5
FAN-ZHENDONG,26993,27003,garcon,coup_droit,4,att/att,serveur_point_contre,,offensif,g2,pt_gagne,topspin,-32.060847473144534,88.5960578918457,2,FAN-ZHENDONG,ALEXIS-LEBRUN,46.62493896484375,-222.8167724609375,g5,-6.6641845703125,181.06390380859375,m4
ALEXIS-LEBRUN,27258,27292,garcon,coup_droit,4,att/att,ALEXIS-LEBRUN,lat_droit,,d2,,,-25.587939643859862,-58.627560488382976,2,ALEXIS-LEBRUN,FAN-ZHENDONG,61.45068359375,-202.14151000976562,g5,-106.2711181640625,131.3585205078125,h3
FAN-ZHENDONG,27293,27307,garcon,revers,4,att/att,FAN-ZHENDONG,,intermediaire,g3,,flip,-31.90290069580078,104.80462023417155,2,FAN-ZHENDONG,ALEXIS-LEBRUN,37.8931884765625,-160.87933349609375,g4,-56.27734375,217.4783935546875,g5
ALEXIS-LEBRUN,27308,27332,garcon,revers,4,att/att,serveur_point_pour,,offensif,,out,topspin,,,,ALEXIS-LEBRUN,FAN-ZHENDONG,61.3697509765625,-217.47689819335938,g5,-41.1737060546875,264.70361328125,g6
FAN-ZHENDONG,27645,27688,garcon,coup_droit,4,att/att,FAN-ZHENDONG,lat_droit,,g3,,,-53.43985557556152,120.52878952026367,2,FAN-ZHENDONG,ALEXIS-LEBRUN,-75.48333740234375,209.29345703125,g5,101.7313232421875,-133.685302734375,h3
ALEXIS-LEBRUN,27689,27703,garcon,revers,4,att/att,serveur_point_pour,,offensif,,out,topspin,,,,ALEXIS-LEBRUN,FAN-ZHENDONG,-16.6810302734375,216.9288330078125,m5,79.890869140625,-192.2830810546875,h5
FAN-ZHENDONG,28120,28149,garcon,coup_droit,4,att/att,FAN-ZHENDONG,lat_droit,,d2,,,34.239363479614255,74.93838958740234,2,FAN-ZHENDONG,ALEXIS-LEBRUN,-75.47235107421875,210.830078125,g5,99.03363037109375,-147.517822265625,h4
ALEXIS-LEBRUN,28150,28161,garcon,coup_droit,4,att/att,ALEXIS-LEBRUN,,defensif,m2,,poussette,4.781890869140625,-53.41937700907389,2,ALEXIS-LEBRUN,FAN-ZHENDONG,-13.433349609375,186.65228271484375,m5,58.57305908203125,-197.523193359375,g5
FAN-ZHENDONG,28162,28175,garcon,coup_droit,4,att/att,FAN-ZHENDONG,,defensif,m3,,poussette,13.568383407592773,118.49345372517904,2,FAN-ZHENDONG,ALEXIS-LEBRUN,-16.79583740234375,198.87109375,m5,52.737548828125,-192.232421875,g5
ALEXIS-LEBRUN,28176,28185,garcon,coup_droit,4,att/att,serveur_point_contre,,offensif,g3,pt_gagne,topspin,41.80821189880371,-103.75777525901795,2,ALEXIS-LEBRUN,FAN-ZHENDONG,-16.68560791015625,216.2066650390625,m5,40.8958740234375,-168.46392822265625,g4
ALEXIS-LEBRUN,28482,28512,garcon,coup_droit,4,att/att,ALEXIS-LEBRUN,lat_droit,,m2,,,-2.6659244537353515,-59.7052853902181,2,ALEXIS-LEBRUN,FAN-ZHENDONG,55.48553466796875,-228.45584106445312,g6,-67.8779296875,188.666015625,g5
FAN-ZHENDONG,28513,28525,garcon,revers,4,att/att,FAN-ZHENDONG,,offensif,d3,,flip,52.544410705566406,127.18864529927572,2,FAN-ZHENDONG,ALEXIS-LEBRUN,40.86553955078125,-173.92312622070312,g4,-63.82391357421875,220.61968994140625,g5
ALEXIS-LEBRUN,28526,28535,garcon,coup_droit,4,att/att,ALEXIS-LEBRUN,,offensif,g3,,topspin,48.580694580078124,-92.01649808883667,2,ALEXIS-LEBRUN,FAN-ZHENDONG,64.54901123046875,-160.911376953125,g4,-67.63629150390625,222.9708251953125,g5
FAN-ZHENDONG,28536,28554,garcon,revers,4,att/att,serveur_point_pour,,intermediaire,,filet,bloc,,,,FAN-ZHENDONG,ALEXIS-LEBRUN,55.56463623046875,-213.6817626953125,g5,15.23468017578125,259.35040283203125,m6
ALEXIS-LEBRUN,29020,29055,garcon,coup_droit,4,att/att,ALEXIS-LEBRUN,lat_gauche,,g2,,,48.61348419189453,-87.95890054702758,2,ALEXIS-LEBRUN,FAN-ZHENDONG,-60.245849609375,188.78741455078125,g5,61.3626708984375,-218.81069946289062,g5
FAN-ZHENDONG,29056,29064,garcon,revers,4,att/att,FAN-ZHENDONG,,intermediaire,m3,,topspin,-3.4908397674560545,121.97616767883301,2,FAN-ZHENDONG,ALEXIS-LEBRUN,-48.68994140625,237.54718017578125,g6,67.30316162109375,-181.49618530273438,g4
ALEXIS-LEBRUN,29065,29076,garcon,coup_droit,4,att/att,ALEXIS-LEBRUN,,offensif,g3,,topspin,39.63531303405762,-94.49543259938558,2,ALEXIS-LEBRUN,FAN-ZHENDONG,-44.86895751953125,258.245361328125,g6,79.82525634765625,-205.32443237304688,h5
FAN-ZHENDONG,29077,29087,garcon,revers,4,att/att,FAN-ZHENDONG,,intermediaire,g3,,topspin,,,,FAN-ZHENDONG,ALEXIS-LEBRUN,-71.2996826171875,250.57537841796875,g6,61.2288818359375,-244.16212463378906,g6
ALEXIS-LEBRUN,29088,29108,garcon,revers,4,att/att,serveur_point_pour,,offensif,,filet,topspin,,,,ALEXIS-LEBRUN,FAN-ZHENDONG,-52.22479248046875,263.16229248046875,g6,121.6900634765625,-243.85800170898438,h6
FAN-ZHENDONG,29529,29555,garcon,coup_droit,4,att/att,FAN-ZHENDONG,lat_droit,,m2,,,-3.9755809783935545,69.12454058329264,2,FAN-ZHENDONG,ALEXIS-LEBRUN,104.2974853515625,-143.95913696289062,h4,-63.898193359375,209.9918212890625,g5
ALEXIS-LEBRUN,29556,29566,garcon,revers,4,att/att,ALEXIS-LEBRUN,,offensif,g2,,flip,39.703059387207034,-86.29422403971354,2,ALEXIS-LEBRUN,FAN-ZHENDONG,79.890869140625,-192.2830810546875,h5,-9.88800048828125,207.51458740234375,m5
FAN-ZHENDONG,29567,29588,garcon,revers,4,att/att,serveur_point_pour,,intermediaire,,out,topspin,,,,FAN-ZHENDONG,ALEXIS-LEBRUN,103.92803955078125,-222.41976928710938,h5,-67.54510498046875,235.92218017578125,g6
FAN-ZHENDONG,29911,29940,garcon,coup_droit,4,att/att,FAN-ZHENDONG,lat_droit,,d2,,,31.893369674682617,68.2419334411621,2,FAN-ZHENDONG,ALEXIS-LEBRUN,-71.5872802734375,210.03826904296875,g5,101.6561279296875,-149.53787231445312,h4
ALEXIS-LEBRUN,29941,29952,garcon,revers,4,att/att,ALEXIS-LEBRUN,,defensif,d1,,poussette,-57.88116645812988,-41.37861398061116,2,ALEXIS-LEBRUN,FAN-ZHENDONG,39.83392333984375,185.97113037109375,d5,61.47882080078125,-196.80892944335938,g5
FAN-ZHENDONG,29953,29980,garcon,coup_droit,4,att/att,serveur_point_pour,,intermediaire,,filet,flip,,,,FAN-ZHENDONG,ALEXIS-LEBRUN,33.95172119140625,228.8515625,d6,-12.28546142578125,-175.14227294921875,m4
ALEXIS-LEBRUN,30379,30411,garcon,coup_droit,4,att/att,ALEXIS-LEBRUN,lat_gauche,,g3,,,67.76869125366211,-121.33156309127807,2,ALEXIS-LEBRUN,FAN-ZHENDONG,61.45770263671875,-200.80828857421875,g5,-118.92950439453125,126.4315185546875,h3
FAN-ZHENDONG,30412,30422,garcon,revers,4,att/att,FAN-ZHENDONG,,intermediaire,m3,,topspin,-16.192759132385255,113.38353029886882,2,FAN-ZHENDONG,ALEXIS-LEBRUN,101.55987548828125,-169.8389892578125,h4,-52.61456298828125,206.17138671875,g5
ALEXIS-LEBRUN,30423,30444,garcon,coup_droit,4,att/att,serveur_point_pour,,offensif,,out,topspin,,,,ALEXIS-LEBRUN,FAN-ZHENDONG,103.82958984375,-243.3281707763672,h6,-118.41485595703125,193.076416015625,h5
ALEXIS-LEBRUN,30700,30740,garcon,coup_droit,4,att/att,ALEXIS-LEBRUN,lat_gauche,,d1,,,-49.57856531143189,-43.918219566345215,2,ALEXIS-LEBRUN,FAN-ZHENDONG,69.9515380859375,-219.11285400390625,g5,-114.5931396484375,138.7567138671875,h4
FAN-ZHENDONG,30741,30755,garcon,coup_droit,4,att/att,FAN-ZHENDONG,,defensif,m2,,poussette,5.7107994079589846,50.1130625406901,2,FAN-ZHENDONG,ALEXIS-LEBRUN,64.50726318359375,-168.8756103515625,g4,-37.9781494140625,200.2281494140625,g5
